"","District_Code","District","SCHOOL.ID","School","Avg_Composite","State.Rank","Test_Takers","Avg_Eng","Avg_Math","Avg_Reading","Avg_Science","AICODE","School_Year"
"182","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology",28.9,1,118,28.7,29.2,28,29.3,111140,2014
"184","660","Fulton County","0203","Northview High School",26.5,2,282,26.5,27.1,26.2,25.8,111148,2014
"305","633","Cobb County","0175","Walton High School",25.7,3,417,25.8,25.7,25.8,25.1,111987,2014
"12","660","Fulton County","0205","Alpharetta High School",25.6,4,350,25.6,25.5,25.8,24.8,110058,2014
"373","625","Chatham County","0499","Savannah Arts Academy",25.3,5,83,25.9,24.1,26.1,24.3,112696,2014
"285","660","Fulton County","0910","Johns Creek High School",25.2,6,304,25.4,25.5,24.8,24.7,111866,2014
"13","660","Fulton County","0106","Milton High School",25.1,7,362,24.9,25.1,25.6,24.5,110060,2014
"29","660","Fulton County","0392","Chattahoochee High School",25,9,270,24.8,25.2,24.8,24.6,110146,2014
"411","736","Thomas County","0100","Bishop Hall Charter School",25,9,1,21,26,34,20,112982,2014
"124","706","Muscogee County","3054","Columbus High School",24.8,11,154,25.1,24.5,25.6,23.6,110825,2014
